,file_name,type,name,label,desc,texPath,Neutroamine,BOR_Tenebrite,ComponentSpacer,BOR_ComponentIII,BOR_QuasarAlloyWeave,BOR_MedicineI,BOR_QuasarAlloy,BOR_Sunweave,BOR_Sunsteel,BOR_MedicineII,BOR_ComponentII,Plasteel,MedicineUltratech,Uranium
0,..\Common\Defs\BodyPartDefs\Tier1\Bodyparts.xml,ThingDef,BOR_SolarBionicEye,solar eye,"An advanced artificial eye. With its biogel nerve-link, internal signal pre-processor, and wide-spectrum sensors, it is better than a biological eye in almost every way. A lattice-dust healing system allows it to recover from damage.",,0,0,4,0,0,0,0,0,15,0,0,0,0,0
1,..\Common\Defs\BodyPartDefs\Tier1\Bodyparts.xml,ThingDef,BOR_SolarBionicArm,solar arm,"An advanced artificial arm. Silenced mini-servos give great strength, while the biogel nerve-link gives exquisite control. A lattice-dust healing system allows it to recover from damage. It is better than a biological arm in almost every way.",,0,0,4,0,0,0,0,0,15,0,0,0,0,0
2,..\Common\Defs\BodyPartDefs\Tier1\Bodyparts.xml,ThingDef,BOR_SolarBionicLeg,solar leg,"An advanced artificial leg. With its biogel nerve-link, powerful mini-servos, and lattice-dust healing system, it is better than a biological leg in almost every way.",,0,0,4,0,0,0,0,0,15,0,0,0,0,0
3,..\Common\Defs\BodyPartDefs\Tier1\Bodyparts.xml,ThingDef,BOR_SolarBionicSpine,solar spine,"An advanced artificial spine. A biogel nerve bundle runs down an articulated plasteel core, surrounded by a lattice-dust healing system. It matches the performance of a biological spine.",,0,0,4,0,0,0,0,0,15,0,0,0,0,0
4,..\Common\Defs\BodyPartDefs\Tier1\Bodyparts.xml,ThingDef,BOR_SolarBionicHeart,solar heart,"An advanced artificial heart. It has synthetic muscle fibers for a realistic heartbeat, plus a high-flow pump for rapid circulation during high stress. It is better than a biological heart in almost every way.",,0,0,4,0,0,0,0,0,15,0,0,0,0,0
5,..\Common\Defs\BodyPartDefs\Tier1\Bodyparts.xml,ThingDef,BOR_SolarBionicStomach,solar stomach,"An advanced artificial stomach with sensors and chemical synthesizers that efficiently digest nearly any energy-bearing foodstuff. A person with this has a much lower chance of getting food poisoning, and is immune to some stomach diseases. An integrated lattice-dust healing system automatically repairs any damage to the artificial organ. It is better than a biological stomach in almost every way.",,0,0,3,0,0,0,0,0,10,0,0,0,0,0
6,..\Common\Defs\BodyPartDefs\Tier1\Bodyparts.xml,ThingDef,BOR_SolarBionicEar,solar ear,"An advanced artificial ear implant. A collection of invisible subdermal microphones capture sound and transmit it to a biogel nerve interface that links directly with the auditory nerve. It's sensitive enough to hear a cat before you see it, can't be damaged by loud noise, and automatically tunes itself to pick out meaningful sounds in noisy environments.",,0,0,3,0,0,0,0,0,10,0,0,0,0,0
7,..\Common\Defs\BodyPartDefs\Tier1\Bodyparts.xml,ThingDef,BOR_SolarBionicTongue,solar tongue,"An artificial tongue replacement. Made of synthetic smooth-fibers and connected through a neurogel interface, it can match the performance of a natural tongue in speaking, eating, and tasting.",,0,0,2,0,0,0,0,0,8,0,0,0,0,0
8,..\Common\Defs\BodyPartDefs\Tier1\Bodyparts.xml,ThingDef,BOR_SolarBionicJaw,solar jaw,"An artificial jaw replacement. Made out of biosynthetic bone, with plasteel tooth replacements and a set of micro servomotors for the full range of motion.",,0,0,3,0,0,0,0,0,10,0,0,0,0,0
9,..\Common\Defs\BodyPartDefs\Tier2\Bodyparts.xml,ThingDef,BOR_QuasarBionicEye,quasar eye,"An advanced artificial eye. With its biogel nerve-link, internal signal pre-processor, and wide-spectrum sensors, it is better than a biological eye in almost every way. A lattice-dust healing system allows it to recover from damage.",,0,0,0,0,0,0,15,0,0,0,4,0,0,0
10,..\Common\Defs\BodyPartDefs\Tier2\Bodyparts.xml,ThingDef,BOR_QuasarBionicArm,quasar arm,"An advanced artificial arm. Silenced mini-servos give great strength, while the biogel nerve-link gives exquisite control. A lattice-dust healing system allows it to recover from damage. It is better than a biological arm in almost every way.",,0,0,0,0,0,0,15,0,0,0,4,0,0,0
11,..\Common\Defs\BodyPartDefs\Tier2\Bodyparts.xml,ThingDef,BOR_QuasarBionicLeg,quasar leg,"An advanced artificial leg. With its biogel nerve-link, powerful mini-servos, and lattice-dust healing system, it is better than a biological leg in almost every way.",,0,0,0,0,0,0,15,0,0,0,4,0,0,0
12,..\Common\Defs\BodyPartDefs\Tier2\Bodyparts.xml,ThingDef,BOR_QuasarBionicSpine,quasar spine,"An advanced artificial spine. A biogel nerve bundle runs down an articulated plasteel core, surrounded by a lattice-dust healing system. It matches the performance of a biological spine.",,0,0,0,0,0,0,15,0,0,0,4,0,0,0
13,..\Common\Defs\BodyPartDefs\Tier2\Bodyparts.xml,ThingDef,BOR_QuasarBionicHeart,quasar heart,"An advanced artificial heart. It has synthetic muscle fibers for a realistic heartbeat, plus a high-flow pump for rapid circulation during high stress. It is better than a biological heart in almost every way.",,0,0,0,0,0,0,15,0,0,0,4,0,0,0
14,..\Common\Defs\BodyPartDefs\Tier2\Bodyparts.xml,ThingDef,BOR_QuasarBionicStomach,quasar stomach,"An advanced artificial stomach with sensors and chemical synthesizers that efficiently digest nearly any energy-bearing foodstuff. A person with this has a much lower chance of getting food poisoning, and is immune to some stomach diseases. An integrated lattice-dust healing system automatically repairs any damage to the artificial organ. It is better than a biological stomach in almost every way.",,0,0,0,0,0,0,10,0,0,0,3,0,0,0
15,..\Common\Defs\BodyPartDefs\Tier2\Bodyparts.xml,ThingDef,BOR_QuasarBionicEar,quasar ear,"An advanced artificial ear implant. A collection of invisible subdermal microphones capture sound and transmit it to a biogel nerve interface that links directly with the auditory nerve. It's sensitive enough to hear a cat before you see it, can't be damaged by loud noise, and automatically tunes itself to pick out meaningful sounds in noisy environments.",,0,0,0,0,0,0,10,0,0,0,3,0,0,0
16,..\Common\Defs\BodyPartDefs\Tier2\Bodyparts.xml,ThingDef,BOR_QuasarBionicTongue,quasar tongue,"An artificial tongue replacement. Made of synthetic smooth-fibers and connected through a neurogel interface, it can match the performance of a natural tongue in speaking, eating, and tasting.",,0,0,0,0,0,0,8,0,0,0,2,0,0,0
17,..\Common\Defs\BodyPartDefs\Tier2\Bodyparts.xml,ThingDef,BOR_QuasarBionicJaw,quasar jaw,"An artificial jaw replacement. Made out of biosynthetic bone, with plasteel tooth replacements and a set of micro servomotors for the full range of motion.",,0,0,0,0,0,0,10,0,0,0,3,0,0,0
18,..\Common\Defs\BodyPartDefs\Tier3\Bodyparts.xml,ThingDef,BOR_TenebralAppendage,tenebral appendage template,A template for appendages made from tenebrite. They take the shape of a needed organ.,,0,25,0,4,0,0,0,0,0,0,0,0,0,0
19,..\Common\Defs\BodyPartDefs\Tier3\Bodyparts.xml,ThingDef,BOR_TenebralOrgan,tenebral organ template,"A Tenebral-technology organ template, shapes itself into the needed organ.",,0,15,0,6,0,0,0,0,0,0,0,0,0,0
20,..\Common\Defs\ThingDefs_Buildings\NeutroniumNet.xml,ThingDef,BOR_NeutroniumRefinery,neutronium refinery tier 1,A complex machine capable of refining Neutronium into everything.,BOR/Things/Building/neutroniumnet/tier1refinery,0,0,4,0,0,0,0,0,200,0,0,0,0,0
21,..\Common\Defs\ThingDefs_Buildings\NeutroniumNet.xml,ThingDef,BOR_NeutroniumRefinery_II,neutronium refinery tier 2,A complex machine capable of refining Neutronium into everything.,BOR/Things/Building/neutroniumnet/tier2refinery,0,0,0,0,0,0,200,0,0,0,4,0,0,0
22,..\Common\Defs\ThingDefs_Buildings\NeutroniumNet.xml,ThingDef,BOR_NeutroniumRefinery_III,neutronium refinery tier 3,A complex machine capable of refining Neutronium into everything.,BOR/Things/Building/neutroniumnet/tier3refinery,0,200,0,4,0,0,0,0,0,0,0,0,0,0
23,..\Common\Defs\ThingDefs_Buildings\NeutroniumNet.xml,ThingDef,BOR_NeutroniumPipe,neutronium pipe,BOR_Sunsteel pipes designed to transport usable Neutronium,BOR/Things/Building/neutroniumnet/neutroniumpipe_atlas,0,0,0,0,0,0,0,0,2,0,0,0,0,0
24,..\Common\Defs\ThingDefs_Buildings\NeutroniumNet.xml,ThingDef,BOR_UndergroundNeutroniumPipe,hidden neutronium pipe,Hidden Sunsteel pipes designed to transport usable Neutronium,UI/CSG/IConduit,0,0,0,0,0,0,0,0,4,0,0,0,0,0
25,..\Common\Defs\ThingDefs_Buildings\NeutroniumNet.xml,ThingDef,BOR_NeutroniumValve,neutronium valve,Switches Neutronium flow on/off.,BOR/Things/Building/neutroniumnet/neutroniumswitch,0,0,0,0,0,0,0,0,15,0,1,0,0,0
26,..\Common\Defs\ThingDefs_Buildings\NeutroniumNet.xml,ThingDef,BOR_NeutroniumTank,neutronium tank,"An industrial liquid storage tank meant for storing Neutronium delivered via Neutronium pipe network. Tanks can be designated to be siphoned for usable Neutronium as needed. If damaged even lightly the escaping fumes will very swiftly create a gaseous fireball, the size of the resulting explosion will depend on the amount stored within.",BOR/Things/Building/neutroniumnet/neutroniumtank,0,0,0,0,0,0,0,0,140,0,0,0,0,0
27,..\Common\Defs\ThingDefs_Buildings\NeutroniumNet.xml,ThingDef,BOR_NeutroniumTap,neutronium tap,A hopper-like storage basin meant to hold dispensed Neutronium from tanks periodically for use later.,BOR/Things/Building/neutroniumnet/neutroniumbottler,0,0,0,0,0,0,0,0,60,0,0,0,0,0
28,..\Common\Defs\ThingDefs_Buildings\NeutroniumNet.xml,ThingDef,BOR_NeutroniumDrain,neutronium drain,"A hopper-like storage basin meant to input Neutronium into the network, filling up connected tanks.",BOR/Things/Building/neutroniumnet/neutroniumsiphon,0,0,0,0,0,0,0,0,60,0,0,0,0,0
29,..\Common\Defs\ThingDefs_Buildings\NeutroniumNet.xml,ThingDef,BOR_InfiniteNeutroniumGenerator,tenebral neutronium selfsustained generator,Slowly generates neutronium from particulate matter in the air.,BOR/Things/Building/neutroniumnet/infinitetenebritereactor,0,250,0,6,0,0,80,0,0,0,8,0,0,0
30,..\Common\Defs\ThingDefs_Buildings\tier1\Buildings_Joy.xml,ThingDef,BOR_GameOfUrBoard,game-of-ur holoboard,"Dating from 2500BC, this exciting yet infuriating board game can be played by one or two people. This particular holoboard is enhanced with holograms making the game more engaging and challenging. It trains intellectual skills.",BOR/Things/Building/tier1/urboard/urboard,0,0,0,0,0,0,0,50,25,0,0,0,0,0
31,..\Common\Defs\ThingDefs_Buildings\tier1\Buildings_Joy.xml,ThingDef,BOR_ChessTable,chess holotable,"The ancient game of kings. Fun for a few hours here and there, even playing alone. This is a very immersive holotable with various improvements to presentation, and animated pawns. It trains intellectual skills.\n\nThis building requires adjacent chairs or stools to use.",BOR/Things/Building/tier1/chesstable,0,0,0,0,0,0,0,0,70,0,0,0,0,0
32,..\Common\Defs\ThingDefs_Buildings\tier1\Buildings_Joy.xml,ThingDef,BOR_PokerTable,poker holotable,A holographic table designed for playing gambling card games like poker. It's enhanced with holographic technology to improve the expierence. A great way to test your strategic skills and a bit of luck.\n\nThis building requires adjacent chairs or stools to use.,BOR/Things/Building/tier1/pokertable,0,0,0,0,0,0,0,50,75,0,0,0,0,0
33,..\Common\Defs\ThingDefs_Buildings\tier1\Buildings_Joy.xml,ThingDef,BOR_BilliardsTable,billiards holotable,A holotable for playing a variety of billiards-type games. It trains shooting ability.,BOR/Things/Building/tier1/billiardstable/billiardstable,0,0,0,0,0,0,0,80,110,0,0,0,0,0
34,..\Common\Defs\ThingDefs_Buildings\tier1\Buildings_Joy.xml,ThingDef,BOR_MegascreenTelevision_I,solarscreen television,"A huge, high-tech television. Gigantic, hyper-vibrant images almost leap out of the screen. Very entertaining. Picks up transmissions from ancient satellites and ubiquitous data cards.",BOR/Things/Building/tier1/tv/tv,0,0,22,0,0,0,0,0,260,0,0,0,0,0
35,..\Common\Defs\ThingDefs_Buildings\tier1\Buildings_Joy.xml,ThingDef,BOR_Telescope_I,holotelescope,A telescope for doing amateur astronomy. It's a relaxing hobby for a certain kind of person. Can only be used outdoors.,BOR/Things/Building/tier1/telescope,0,0,1,0,0,0,0,0,50,0,0,0,0,0
36,..\Common\Defs\ThingDefs_Buildings\tier1\Buildings_Joy.xml,ThingDef,BOR_PC_I,solarite personal computer,A high tech computer with utilizing an LCD monitor and better performance parts that are less prone to crashing. Gives a boost to learning after use.,BOR/Things/Building/tier1/computer/computer,0,0,10,0,0,0,0,0,100,0,0,0,0,0
37,..\Common\Defs\ThingDefs_Buildings\tier1\Buildings_Misc.xml,ThingDef,BOR_Research_Unlocker_I,solarite self-computing mainframe,Increases research speed when placed near hi-tech research bench and unlocks Solarite research projects. Each research bench can only use one Solarite self-computing mainframe.,BOR/Things/Building/tier1/research_unlocker,0,0,8,0,0,0,0,0,50,0,0,40,0,0
38,..\Common\Defs\ThingDefs_Buildings\tier1\Buildings_Misc.xml,ThingDef,BOR_ToolCabinet_I,holotool cabinet,Increases work speed when placed near a workbench. One workbench can use up to three holocabinets.,BOR/Things/Building/tier1/production_linkable,0,0,2,0,0,0,0,0,200,0,0,0,0,0
39,..\Common\Defs\ThingDefs_Buildings\tier1\Buildings_Power.xml,ThingDef,BOR_SolarGeothermalPowerGenerator,solar geothermal generator,"This solar geothermal generator not only produces a lot of power, [DBH]but can also double as water generator.[/DBH]",BOR/Retextures/geothermaltier1,0,0,6,0,0,0,0,0,300,0,0,0,0,0
40,..\Common\Defs\ThingDefs_Buildings\tier1\Buildings_Power.xml,ThingDef,BOR_Reactor_I,solarite reactor,Produces power by consuming solarite fuel rods. Must be periodically refueled by hand.,BOR/Things/Building/tier1/reactor,0,0,3,0,0,0,0,0,100,0,0,0,0,0
41,..\Common\Defs\ThingDefs_Buildings\tier1\Buildings_Power.xml,ThingDef,BOR_Battery_I,solari battery,Stores electricity for later use. Charged batteries explode when exposed to rain or fire.,BOR/Things/Building/tier1/battery/battery,0,0,2,0,0,0,0,0,70,0,0,0,0,0
42,..\Common\Defs\ThingDefs_Buildings\tier1\Buildings_Production.xml,ThingDef,BOR_Bench_I,sunsteel shaper,A work station for assembling Sunsteel-based technology.,BOR/Things/Building/tier1/production_bench,0,0,5,0,0,0,0,0,150,0,0,0,0,0
43,..\Common\Defs\ThingDefs_Buildings\tier1\Buildings_Production.xml,ThingDef,BOR_Forge_I,sunforge,Extracts usable metal from slag chunks and other mixed metal items. Consumes a lot of power.,BOR/Things/Building/tier1/smelter,0,0,2,0,0,0,0,0,170,0,0,0,0,0
44,..\Common\Defs\ThingDefs_Buildings\tier1\Buildings_Production.xml,ThingDef,BOR_MedicineBench_I,solar medical fabricator,"A work bench equipped with containers, heaters, and measurement devices for producing various drugs.",BOR/Things/Building/tier1/medicine_bench,0,0,6,0,0,0,0,0,125,0,0,0,0,0
45,..\Common\Defs\ThingDefs_Buildings\tier1\Buildings_Production.xml,ThingDef,BOR_HydroponicsBasin_I,solar hydrobasin,An artificial nutrient bath for growing plants. The nutrients pumps must work continuously; the plants will die if power is cut.,BOR/Things/Building/tier1/hydroponics/hydroponics,0,0,1,0,0,0,0,0,100,0,0,0,0,0
46,..\Common\Defs\ThingDefs_Buildings\tier2\Buildings_Joy.xml,ThingDef,BOR_MegascreenTelevision_II,quasarscreen television,"A huge, high-tech television. Gigantic, hyper-vibrant images almost leap out of the screen. Very entertaining. Picks up transmissions from ancient satellites and ubiquitous data cards.",BOR/Things/Building/tier2/tv/tv,0,0,0,0,0,0,260,0,0,0,22,0,0,0
47,..\Common\Defs\ThingDefs_Buildings\tier2\Buildings_Joy.xml,ThingDef,BOR_Telescope_II,quasoscope,A telescope for doing amateur astronomy. It's a relaxing hobby for a certain kind of person. Can only be used outdoors.,BOR/Things/Building/tier2/telescope,0,0,0,0,0,0,50,0,0,0,1,0,0,0
48,..\Common\Defs\ThingDefs_Buildings\tier2\Buildings_Joy.xml,ThingDef,BOR_PC_II,kwazaari personal computer,A high tech computer with utilizing an LCD monitor and better performance parts that are less prone to crashing. Gives a boost to learning after use.,BOR/Things/Building/tier2/computer/computer,0,0,0,0,0,0,100,0,0,0,10,0,0,0
49,..\Common\Defs\ThingDefs_Buildings\tier2\Buildings_Misc.xml,ThingDef,BOR_Research_Unlocker_II,sigma-class autonomous problem solver,Increases research speed when placed near hi-tech research bench and unlocks Solarite research projects. Each research bench can only use one Solarite self-computing mainframe.,BOR/Things/Building/tier2/research_unlocker,0,0,0,0,0,0,50,0,40,0,8,0,0,0
50,..\Common\Defs\ThingDefs_Buildings\tier2\Buildings_Misc.xml,ThingDef,BOR_ToolCabinet_II,tool kwaazbinet,Increases work speed when placed near a workbench. One workbench can use up to four kwaazbinets.,BOR/Things/Building/tier2/bench_linkable/bench_linkable,0,0,0,0,0,0,200,0,0,0,2,0,0,0
51,..\Common\Defs\ThingDefs_Buildings\tier2\Buildings_Power.xml,ThingDef,BOR_Reactor_II,epsilon-class neutronium reactor,Produces power by consuming neutronium. Must be fuelled via pipelines.,BOR/Things/Building/tier2/reactor,0,0,0,0,0,0,100,0,0,0,3,0,0,0
52,..\Common\Defs\ThingDefs_Buildings\tier2\Buildings_Power.xml,ThingDef,BOR_Battery_II,quasar battery,Stores electricity for later use. Charged batteries explode when exposed to rain or fire.,BOR/Things/Building/tier2/battery/battery2,0,0,0,0,0,0,70,0,0,0,2,0,0,0
53,..\Common\Defs\ThingDefs_Buildings\tier2\Buildings_Production.xml,ThingDef,BOR_Bench_II,neutronium refabricator,A work station for assembling Quasar-based technology.,BOR/Things/Building/tier2/production_bench,0,0,0,0,0,0,150,0,0,0,5,0,0,0
54,..\Common\Defs\ThingDefs_Buildings\tier2\Buildings_Production.xml,ThingDef,BOR_Forge_II,theta forge,Extracts usable metal from slag chunks and other mixed metal items. Consumes a lot of power.,BOR/Things/Building/tier2/smelter,0,0,0,0,0,0,170,0,0,0,2,0,0,0
55,..\Common\Defs\ThingDefs_Buildings\tier2\Buildings_Production.xml,ThingDef,BOR_MedicineBench_II,kwazaari medical fabricator,"A work bench equipped with containers, heaters, and measurement devices for producing various drugs.",BOR/Things/Building/tier2/medicine_bench/medicine_bench,0,0,0,0,0,0,125,0,0,0,6,0,0,0
56,..\Common\Defs\ThingDefs_Buildings\tier2\Buildings_Production.xml,ThingDef,BOR_HydroponicsBasin_II,hydrokwaesar 630,An artificial nutrient bath for growing plants. The nutrients pumps must work continuously; the plants will die if power is cut.,BOR/Things/Building/tier2/hydroponics/hydroponics,0,0,0,0,0,0,100,0,0,0,1,0,0,0
57,..\Common\Defs\ThingDefs_Buildings\tier3\Buildings_Joy.xml,ThingDef,BOR_MegascreenTelevision_III,darkscreen television,"A huge, high-tech television. Gigantic, hyper-vibrant images almost leap out of the screen. Very entertaining. Picks up transmissions from ancient satellites and ubiquitous data cards.",BOR/Things/Building/tier3/tv/tv,0,260,0,22,0,0,0,0,0,0,0,0,0,0
58,..\Common\Defs\ThingDefs_Buildings\tier3\Buildings_Joy.xml,ThingDef,BOR_Telescope_III,dark telescope,A telescope for doing amateur astronomy. It's a relaxing hobby for a certain kind of person. Can only be used outdoors.,BOR/Things/Building/tier3/telescope,0,50,0,1,0,0,0,0,0,0,0,0,0,0
59,..\Common\Defs\ThingDefs_Buildings\tier3\Buildings_Joy.xml,ThingDef,BOR_PC_III,tenebral personal computer,A high tech computer with utilizing an LCD monitor and better performance parts that are less prone to crashing. Gives a boost to learning after use.,BOR/Things/Building/tier3/computer/computer,0,100,0,10,0,0,0,0,0,0,0,0,0,0
60,..\Common\Defs\ThingDefs_Buildings\tier3\Buildings_Misc.xml,ThingDef,BOR_Research_Unlocker_III,dark mirror,Increases research speed when placed near hi-tech research bench and unlocks Solarite research projects. Each research bench can only use one Solarite self-computing mainframe.,BOR/Things/Building/tier3/research_unlocker/research_unlocker,0,50,0,8,0,0,0,0,40,0,0,0,0,0
61,..\Common\Defs\ThingDefs_Buildings\tier3\Buildings_Misc.xml,ThingDef,BOR_ToolCabinet_III,dark manufacturer,Increases work speed when placed near a workbench. One workbench can use up to five dark manufacturers.,BOR/Things/Building/tier3/production_bench_linkable/production_bench_linkable,0,200,0,2,0,0,0,0,0,0,0,0,0,0
62,..\Common\Defs\ThingDefs_Buildings\tier3\Buildings_Power.xml,ThingDef,BOR_Reactor_III,dark reactor,Produces power by existing.,BOR/Things/Building/tier3/reactor,0,100,0,3,0,0,0,0,0,0,0,0,0,0
63,..\Common\Defs\ThingDefs_Buildings\tier3\Buildings_Power.xml,ThingDef,BOR_Battery_III,tenebral battery,Stores electricity for later use. Charged batteries explode when exposed to rain or fire.,BOR/Things/Building/tier3/battery/battery3,0,70,0,2,0,0,0,0,0,0,0,0,0,0
64,..\Common\Defs\ThingDefs_Buildings\tier3\Buildings_Production.xml,ThingDef,BOR_Bench_III,dark fabricator,A work station for assembling Tenebrite-based technology.,BOR/Things/Building/tier3/production_bench,0,150,0,5,0,0,0,0,0,0,0,0,0,0
65,..\Common\Defs\ThingDefs_Buildings\tier3\Buildings_Production.xml,ThingDef,BOR_Forge_III,dark forge,Extracts usable metal from slag chunks and other mixed metal items. Consumes a lot of power.,BOR/Things/Building/tier3/forge,0,170,0,2,0,0,0,0,0,0,0,0,0,0
66,..\Common\Defs\ThingDefs_Buildings\tier3\Buildings_Production.xml,ThingDef,BOR_MedicineBench_III,tenebral medical fabricator,"A work bench equipped with containers, heaters, and measurement devices for producing various drugs.",BOR/Things/Building/tier3/medicine_bench,0,125,0,6,0,0,0,0,0,0,0,0,0,0
67,..\Common\Defs\ThingDefs_Buildings\tier3\Buildings_Production.xml,ThingDef,BOR_HydroponicsBasin_III,tenebral hydrogrower,An artificial nutrient bath for growing plants. The nutrients pumps must work continuously; the plants will die if power is cut.,BOR/Things/Building/tier3/hydroponics/hydroponics,0,100,0,1,0,0,0,0,0,0,0,0,0,0
68,..\Common\Defs\ThingDefs_Buildings\tier4\Buildings_Misc.xml,ThingDef,BOR_Research_Unlocker_IV,umbral spire,Increases research speed when placed near hi-tech research bench and unlocks Solarite research projects. Each research bench can only use one Solarite self-computing mainframe.,BOR/Retextures/spire,0,200,0,8,0,0,0,0,0,0,0,0,0,0
69,..\Common\Defs\ThingDefs_Buildings\tier4\Buildings_Power.xml,ThingDef,BOR_Reactor_IV,umbral reactor,is power.,BOR/Things/Building/tier4/reactor/reactor,0,100,0,3,0,0,0,0,0,0,0,0,0,0
70,..\Common\Defs\ThingDefs_Buildings\tier4\Buildings_Production.xml,ThingDef,BOR_Bench_IV,umbral creation engine,A work station for assembling whatever you want.,BOR/Things/Building/tier4/production_bench,0,1500,0,50,0,0,0,0,0,0,0,0,0,0
71,..\Common\Defs\ThingDefs_Buildings\tier4\Buildings_Production.xml,ThingDef,BOR_Forge_IV,umbral forge,Extracts usable metal from slag chunks and other mixed metal items. Consumes a lot of power.,BOR/Things/Building/tier4/forge/forge,0,1000,0,50,0,0,0,0,0,0,0,0,0,0
72,..\Common\Defs\ThingDefs_Items\resource.xml,ThingDef,BOR_Femtoclusters,femtoclusters,"An opaque apparatus filled with femtoscopic machines, clustered and waiting for an order. Container is made from picomachines and has neither a reader or an applicator. Picocluster contantly spreads and shrinks around the container, unnoticeable to naked eye; approaching user has their intentions read before they even lay eyes on the apparatus. Femtomachines are kept enclosed only because they have nowhere else to be and exit through the pores of the surrounding cluster when intent is understood.",BOR/Things/Item/Resource/Clusters/fem,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,..\Common\Defs\ThingDefs_Items\resource.xml,ThingDef,BOR_Picoclusters,picoclusters,"An opaque apparatus filled with picoscopic machines, clustered and waiting for an order. The container only has a tiny hole on the bottom. Entire container is built by nanomachines, so a reader is unneeded. Picomachines exit through the hole when intent is understood. Typically used for installation.",BOR/Things/Item/Resource/Clusters/pico,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,..\Common\Defs\ThingDefs_Items\resource.xml,ThingDef,BOR_Nanoclusters,nanoclusters,"An opaque apparatus filled with nanoscopic machines, clustered and waiting for an order. The container has an electronic reader on top and a needle-like applicator on the bottom. Electronic reader transmits intentions of the user into the nanocluster, and the applicator deploys them. Typically used for installation.",BOR/Things/Item/Resource/Clusters/nano,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,..\Common\Defs\ThingDefs_Items\Tier1\Armor\apparel_armor.xml,ThingDef,BOR_Solar_Apparel_FlakVest,solar flak vest,"A vest with sunsteel armor plates inserted on the chest and back. While quite effective at deflecting gunshots and stabbing attacks against the chest, it does nothing to protect the limbs.",Things/Pawn/Humanlike/Apparel/FlakVest/FlakVest,0,0,1,0,0,0,0,30,60,0,0,0,0,0
76,..\Common\Defs\ThingDefs_Items\Tier1\Armor\apparel_armor.xml,ThingDef,BOR_Solar_Apparel_FlakPants,solar flak pants,"A pair of pants with solar armor plates sewn in. While it's not as good as solid armor, it offers effective protection against all manner of attacks while remaining quite comfortable.",Things/Pawn/Humanlike/Apparel/FlakPants/FlakPants,0,0,1,0,0,0,0,30,60,0,0,0,0,0
77,..\Common\Defs\ThingDefs_Items\Tier1\Armor\apparel_armor.xml,ThingDef,BOR_Solar_Apparel_FlakJacket,solar flak jacket,"A tough sunsteel fabric jacket with armor plates sewn in. While it's not as good as solid armor, it offers effective protection against all manner of attacks while remaining quite comfortable.",Things/Pawn/Humanlike/Apparel/FlakJacket/FlakJacket,0,0,1,0,0,0,0,50,0,0,0,70,0,0
